,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,EXITSn_hourly
248,A002,R051,02-03-03,05-27-11,08:00:00,REGULAR,2349334,3075395,274.0
249,A002,R051,02-03-03,05-27-11,12:00:00,REGULAR,2349468,3075970,575.0
250,A002,R051,02-03-03,05-27-11,16:00:00,REGULAR,2349757,3076225,255.0
251,A002,R051,02-03-03,05-27-11,20:00:00,REGULAR,2350181,3076426,201.0
252,A002,R051,02-03-04,05-21-11,00:00:00,REGULAR,3061347,2005521,-1070905.0
253,A002,R051,02-03-04,05-21-11,04:00:00,REGULAR,3061389,2005530,9.0
254,A002,R051,02-03-04,05-21-11,08:00:00,REGULAR,3061408,2005584,54.0
255,A002,R051,02-03-04,05-21-11,12:00:00,REGULAR,3061531,2005699,115.0
256,A002,R051,02-03-04,05-21-11,16:00:00,REGULAR,3061796,2005785,86.0
257,A002,R051,02-03-04,05-21-11,20:00:00,REGULAR,3062096,2005857,72.0
258,A002,R051,02-03-04,05-22-11,00:00:00,REGULAR,3062324,2005896,39.0
259,A002,R051,02-03-04,05-22-11,04:00:00,REGULAR,3062374,2005910,14.0
260,A002,R051,02-03-04,05-22-11,08:00:00,REGULAR,3062387,2005945,35.0
261,A002,R051,02-03-04,05-22-11,12:00:00,REGULAR,3062484,2006049,104.0
262,A002,R051,02-03-04,05-22-11,16:00:00,REGULAR,3062686,2006126,77.0
263,A002,R051,02-03-04,05-22-11,20:00:00,REGULAR,3062948,2006197,71.0
264,A002,R051,02-03-04,05-23-11,00:00:00,REGULAR,3063089,2006221,24.0
265,A002,R051,02-03-04,05-23-11,04:00:00,REGULAR,3063098,2006227,6.0
266,A002,R051,02-03-04,05-23-11,08:00:00,REGULAR,3063163,2006396,169.0
267,A002,R051,02-03-04,05-23-11,12:00:00,REGULAR,3063443,2006711,315.0
268,A002,R051,02-03-04,05-23-11,16:00:00,REGULAR,3063709,2006782,71.0
269,A002,R051,02-03-04,05-23-11,20:00:00,REGULAR,3064370,2006903,121.0
270,A002,R051,02-03-04,05-24-11,00:00:00,REGULAR,3064588,2006946,43.0
271,A002,R051,02-03-04,05-24-11,04:00:00,REGULAR,3064604,2006955,9.0
272,A002,R051,02-03-04,05-24-11,08:00:00,REGULAR,3064681,2007159,204.0
273,A002,R051,02-03-04,05-24-11,12:00:00,REGULAR,3064994,2007456,297.0
274,A002,R051,02-03-04,05-24-11,16:00:00,REGULAR,3065274,2007562,106.0
275,A002,R051,02-03-04,05-24-11,20:00:00,REGULAR,3066027,2007689,127.0
276,A002,R051,02-03-04,05-25-11,00:00:00,REGULAR,3066257,2007752,63.0
277,A002,R051,02-03-04,05-25-11,04:00:00,REGULAR,3066272,2007757,5.0
278,A002,R051,02-03-04,05-25-11,08:00:00,REGULAR,3066317,2007944,187.0
279,A002,R051,02-03-04,05-25-11,12:00:00,REGULAR,3066625,2008219,275.0
280,A002,R051,02-03-04,05-25-11,16:00:00,REGULAR,3066950,2008301,82.0
281,A002,R051,02-03-04,05-25-11,20:00:00,REGULAR,3067617,2008409,108.0
282,A002,R051,02-03-04,05-26-11,00:00:00,REGULAR,3067860,2008448,39.0
283,A002,R051,02-03-04,05-26-11,04:00:00,REGULAR,3067874,2008450,2.0
284,A002,R051,02-03-04,05-26-11,08:00:00,REGULAR,3067950,2008679,229.0
285,A002,R051,02-03-04,05-26-11,12:00:00,REGULAR,3068246,2008953,274.0
286,A002,R051,02-03-04,05-26-11,16:00:00,REGULAR,3068526,2009041,88.0
287,A002,R051,02-03-04,05-26-11,20:00:00,REGULAR,3069206,2009135,94.0
288,A002,R051,02-03-04,05-27-11,00:00:00,REGULAR,3069478,2009169,34.0
289,A002,R051,02-03-04,05-27-11,04:00:00,REGULAR,3069499,2009174,5.0
290,A002,R051,02-03-04,05-27-11,08:00:00,REGULAR,3069543,2009360,186.0
291,A002,R051,02-03-04,05-27-11,12:00:00,REGULAR,3069775,2009634,274.0
