County,State,Perc_Female,Perc_Black,Perc_Asian,Perc_Hispanic,Perc_White,Median_Age
Avoyelles Parish Louisiana,Louisiana,49.9,29.5,0.3,1.4,67,39.6
Baca County Colorado,Colorado,50.4,0.6,0.2,9.2,92.6,49.2
Bacon County Georgia,Georgia,50.5,15.4,0.3,7.1,78.6,37.6
Bailey County Texas,Texas,49.5,1.2,0.4,59.8,75.3,33.3
Baker County Georgia,Georgia,51.5,46.7,0.7,4.2,48.5,42.1
Baker County Oregon,Oregon,49.5,0.4,0.5,3.3,94.6,49.1
Baker County Florida,Florida,47.8,13.6,0.5,1.9,83.7,36.9
Baldwin County Alabama,Alabama,51.1,9.4,0.7,4.4,85.7,42.2
Baldwin County Georgia,Georgia,50.4,41.5,1.3,2,54.9,33.9
Ballard County Kentucky,Kentucky,50.3,2.9,0.2,1.1,94.7,44.2
Baltimore city Maryland,Maryland,52.9,63.7,2.3,4.2,29.6,35.7
Baltimore County Maryland,Maryland,52.7,26.1,5,4.2,64.6,40.6
Bamberg County South Carolina,South Carolina,52.4,61.5,0.4,1.6,36.1,41
Bandera County Texas,Texas,50.3,0.5,0.3,16.7,92.8,49.1
Banks County Georgia,Georgia,49.5,2.3,0.9,5.7,91.7,39
Banner County Nebraska,Nebraska,48.7,0,0,3.8,95.7,48
Bannock County Idaho,Idaho,50.1,0.8,1.3,6.7,89.8,32.2
Baraga County Michigan,Michigan,45.1,7.2,0.1,1,75,44.9
Barber County Kansas,Kansas,49.6,0.5,0.4,2.4,96.1,46.6
Barbour County West Virginia,West Virginia,50.6,0.7,0.2,0.6,96.8,42.4
Barbour County Alabama,Alabama,46.9,46.9,0.4,5.1,48,41.6
Barceloneta Municipio Puerto Rico,Puerto Rico,51.9,7.6,0.1,99.4,80.7,36.6
Barnes County North Dakota,North Dakota,50.4,0.8,0.5,1.1,96.4,45.4
Barnstable County Massachusetts,Massachusetts,52.4,1.9,1.1,2.2,92.7,51.4
Barnwell County South Carolina,South Carolina,52.2,44.3,0.6,1.8,52.6,40.5
Barranquitas Municipio Puerto Rico,Puerto Rico,50.7,5.4,0,99.3,86,33.8
Barren County Kentucky,Kentucky,51.5,3.9,0.4,2.6,92.5,41.2
Barron County Wisconsin,Wisconsin,50.3,0.9,0.5,1.9,96.1,44.5
Barrow County Georgia,Georgia,50.7,11.4,3.4,8.7,78.8,34.7
Barry County Missouri,Missouri,50.4,0.3,1.3,7.7,92.1,42.6
Barry County Michigan,Michigan,49.8,0.4,0.4,2.3,96.9,42
Bartholomew County Indiana,Indiana,50.6,1.8,3.4,6.2,89.6,39.3
Barton County Kansas,Kansas,50.9,1.4,0.2,13.3,88.8,41.4
Barton County Missouri,Missouri,50.7,0.4,0.2,1.9,95,42.3
Bartow County Georgia,Georgia,50.6,10.2,0.7,7.7,82.7,37.1
Bastrop County Texas,Texas,48.8,7.8,0.7,32.6,73.8,39.2
Bates County Missouri,Missouri,50.7,0.9,0.2,1.6,96.6,43.1
Bath County Kentucky,Kentucky,50.4,1.3,0.1,1.4,96.4,40.6
Bath County Virginia,Virginia,49.5,4.7,0.1,2.1,93.7,48.3
Baxter County Arkansas,Arkansas,51.8,0.2,0.4,1.7,96.9,51.7
Bay County Michigan,Michigan,51.1,1.6,0.5,4.7,94.1,43.3
Bay County Florida,Florida,50.5,10.8,2,4.8,82.2,40.6
Bayam’_n Municipi Puerto Rico,Puerto Rico,52.5,10.3,0.2,99,78.3,40.5
Bayfield County Wisconsin,Wisconsin,48.6,0.3,0.3,1.1,86.7,49.8
Baylor County Texas,Texas,51.8,2,0.1,12.2,91.5,47.9
Beadle County South Dakota,South Dakota,49.7,0.8,3.6,7.7,89.7,42.8
Bear Lake County Idaho,Idaho,50.4,0.1,0.4,3.6,96.3,41
Beaufort County North Carolina,North Carolina,51.8,25.6,0.3,6.6,68.2,45.4
Beaufort County South Carolina,South Carolina,50.6,19.3,1.2,12.1,71.9,43.4
Beauregard Parish Louisiana,Louisiana,49,13.1,0.6,2.8,82.2,38.6
Beaver County Pennsylvania,Pennsylvania,51.8,6.3,0.4,1.2,91.2,45.9
Beaver County Oklahoma,Oklahoma,49.1,0.8,0.1,20.1,82.8,41.3
Beaver County Utah,Utah,48.6,0.2,1.1,10.8,89,32.5
Beaverhead County Montana,Montana,48.8,0.2,0.4,3.7,94.8,42.9
Becker County Minnesota,Minnesota,49.8,0.4,0.4,1.2,88.4,43.1
Beckham County Oklahoma,Oklahoma,46.5,4,0.8,11.8,85,37.7
Bedford city Virginia,Virginia,53.8,20.2,0.7,2.2,76.4,45.2
Bedford County Virginia,Virginia,50.4,5.7,1,1.6,91.4,44.8
Bedford County Tennessee,Tennessee,50.4,7.9,0.8,11.3,81.8,37.5
Bedford County Pennsylvania,Pennsylvania,50.4,0.5,0.2,0.9,98,45.1
Bee County Texas,Texas,40.2,8.1,0.6,56.2,78.8,36.8
Belknap County New Hampshire,New Hampshire,50.9,0.5,1.2,1.2,96.6,45.3
Bell County Kentucky,Kentucky,51.4,2.2,0.3,0.7,95.6,42.5
Bell County Texas,Texas,50.5,21.5,2.8,21.6,61.4,30.7
Belmont County Ohio,Ohio,49.6,4,0.4,0.6,94,46.2
Beltrami County Minnesota,Minnesota,50.1,0.6,0.7,1.5,75.1,34.7
Ben Hill County Georgia,Georgia,52.1,34.6,0.7,5.8,59.2,38.5
Benewah County Idaho,Idaho,49,0.3,0.3,2.5,86.6,45
Bennett County South Dakota,South Dakota,50.9,0.1,0.4,2,33.7,29.5
Bennington County Vermont,Vermont,51.6,0.8,0.7,1.4,96.6,46.1
Benson County North Dakota,North Dakota,49.3,0,0,1.2,43.4,32.3
Bent County Colorado,Colorado,34.3,7.6,1,30.5,79.2,43.9
Benton County Tennessee,Tennessee,51,1.9,0.4,1.8,95.4,46.6
Benton County Mississippi,Mississippi,50.9,37.3,0.1,1.7,60.5,40.1
Benton County Arkansas,Arkansas,50.7,1.3,2.9,15.5,82.6,35.2
Benton County Indiana,Indiana,50.5,0.5,0.2,4.9,95.9,41.8
Benton County Washington,Washington,50.1,1.3,2.7,18.7,82.4,36.6
Benton County Iowa,Iowa,50,0.4,0.3,1.1,98.1,41.7
Benton County Oregon,Oregon,49.9,0.9,5.2,6.4,87.1,34.2
Benton County Minnesota,Minnesota,49.9,1.9,1.1,1.6,94.5,35
Benton County Missouri,Missouri,49.9,0.3,0.3,1.5,97.1,52
Benzie County Michigan,Michigan,50.4,0.4,0.3,1.7,96.1,46.8
Bergen County New Jersey,New Jersey,51.8,5.8,14.5,16.1,71.9,42.5
Berkeley County West Virginia,West Virginia,50.4,7.1,0.8,3.8,87.8,37.9
Berkeley County South Carolina,South Carolina,50.1,25,2.3,6,66.5,36
Berks County Pennsylvania,Pennsylvania,50.9,4.9,1.3,16.4,83.2,40.2
Berkshire County Massachusetts,Massachusetts,51.9,2.7,1.2,3.5,92.5,45.9
Bernalillo County New Mexico,New Mexico,51,3,2.3,47.9,69.4,37.2
Berrien County Michigan,Michigan,51.3,15.3,1.6,4.5,78.3,42.4
Berrien County Georgia,Georgia,50.7,10.7,0.4,4.6,84.7,39.1
Bertie County North Carolina,North Carolina,50.5,62.5,0.5,1.3,35.2,45.7
Bethel Census Area Alaska,Alaska,47.7,0.4,0.9,1.1,11.1,25.7
Bexar County Texas,Texas,51,7.5,2.4,58.7,72.9,34.2
Bibb County Georgia,Georgia,52.9,52.1,1.6,2.8,43.2,37.2
Bibb County Alabama,Alabama,46.3,22,0.1,1.8,75.8,39.5
Bienville Parish Louisiana,Louisiana,51.8,42.3,0.2,1.4,55.3,43.4
Big Horn County Montana,Montana,50.3,0.2,0.5,4,31.4,31.9
Big Horn County Wyoming,Wyoming,49.6,0.2,0.3,8.4,94.4,42.4
Big Stone County Minnesota,Minnesota,51.1,0.2,0.1,0.8,98.2,49.9
Billings County North Dakota,North Dakota,46.7,0.3,0.5,0.5,98.6,47.5
Bingham County Idaho,Idaho,49.8,0.2,0.6,17.2,80.6,32.6
Black Hawk County Iowa,Iowa,51.4,8.9,1.3,3.7,85.6,35.5
Blackford County Indiana,Indiana,50.7,0.4,0.1,0.9,97.7,44.3
Bladen County North Carolina,North Carolina,52,34.9,0.2,7.1,56.3,42.8
Blaine County Montana,Montana,50,0.1,0.1,1.8,48.2,36.9
Blaine County Idaho,Idaho,49.1,0.2,0.9,20,84.9,40.8
Blaine County Nebraska,Nebraska,48.3,0.2,0,0,99.2,46.5
Blaine County Oklahoma,Oklahoma,42,2.6,0.2,24.1,79.7,41.4
Blair County Pennsylvania,Pennsylvania,51.4,1.7,0.6,1,96.2,43.9
Blanco County Texas,Texas,49.5,0.7,0.5,18.2,90.3,47.8
Bland County Virginia,Virginia,44.8,3.3,0.3,0.6,95.5,46.4
Bleckley County Georgia,Georgia,52.4,27.3,0.8,2.3,70.1,37.9
Bledsoe County Tennessee,Tennessee,45.9,3.7,0.1,2,93.6,43.7
Blount County Tennessee,Tennessee,51.6,2.7,0.7,2.8,93.5,42.7
Blount County Alabama,Alabama,50.5,1.3,0.2,8.1,92.6,40
Blue Earth County Minnesota,Minnesota,49.7,2.7,2,2.5,92.8,30.9
Boise County Idaho,Idaho,47.8,0.2,0.4,3.5,95.4,48.1
Bolivar County Mississippi,Mississippi,53.5,64.2,0.6,1.9,33.5,36.3
Bollinger County Missouri,Missouri,50,0.3,0.2,0.8,97.9,42.5
Bon Homme County South Dakota,South Dakota,41.6,1,0.1,1.8,89.8,47.6
Bond County Illinois,Illinois,47.7,6.1,0.4,3.1,90.9,42.1
Bonner County Idaho,Idaho,49.6,0.1,0.5,2.2,96,46.3
Bonneville County Idaho,Idaho,50.1,0.6,0.8,11.4,90.6,32.4
Boone County Missouri,Missouri,51.5,9.3,3.8,3,82.8,30.3
Boone County Arkansas,Arkansas,51,0.2,0.4,1.8,96.5,42.9
Boone County Indiana,Indiana,50.8,0.9,1.7,2.2,95.3,39.5
Boone County Kentucky,Kentucky,50.5,2.5,2.1,3.5,91.8,36.4
Boone County West Virginia,West Virginia,50.3,0.5,0.1,0.4,98.5,41.7
Boone County Nebraska,Nebraska,50.1,0.4,0.2,1.2,98.5,46.7
Boone County Illinois,Illinois,50,2,1.3,20.2,84.4,37.5
Boone County Iowa,Iowa,49.8,0.8,0.3,1.9,97,42.8
Borden County Texas,Texas,47.7,0,0.2,14.8,93.6,46.8
Bosque County Texas,Texas,50.3,1.6,0.2,16.1,89.9,46
Bossier Parish Louisiana,Louisiana,50.8,20.9,1.6,6,72.2,36.1
Botetourt County Virginia,Virginia,50.5,3,0.5,1.1,94.9,45.6
Bottineau County North Dakota,North Dakota,48.3,0.4,0.2,1.3,95.1,49.2
Boulder County Colorado,Colorado,49.8,0.9,4.1,13.3,87.2,37.1
Boundary County Idaho,Idaho,49.4,0.3,0.6,3.7,94.8,43.2
Bourbon County Kentucky,Kentucky,51.3,6,0.3,6.8,88.1,42.1
Bourbon County Kansas,Kansas,51,2.8,0.5,2,93,40.6
Bowie County Texas,Texas,49.5,24.2,0.8,6.5,68.8,39.6
Bowman County North Dakota,North Dakota,49.9,0.1,0.1,2.5,97.9,48.8
Box Butte County Nebraska,Nebraska,51,0.5,0.3,10.2,89.8,42
Box Elder County Utah,Utah,49.6,0.3,0.9,8.3,91.8,31.3
Boyd County Nebraska,Nebraska,50.5,0,0.8,1.6,97,50.8
Boyd County Kentucky,Kentucky,50.3,2.8,0.5,1.4,94.7,43.5
Boyle County Kentucky,Kentucky,51.3,7.5,0.8,2.8,88.2,42.5
Bracken County Kentucky,Kentucky,50.2,0.3,0.1,1.1,97.8,39.7
Bradford County Pennsylvania,Pennsylvania,50.8,0.5,0.5,1.1,97.5,44.3
Bradford County Florida,Florida,43.9,20.4,0.5,3.6,76.4,42.5
Bradley County Arkansas,Arkansas,51.5,27.6,0.2,13.2,60.3,42.2
Bradley County Tennessee,Tennessee,51.3,4.3,0.8,4.7,90.3,39.3
Branch County Michigan,Michigan,47.3,3.1,0.5,4,92.9,40.9
Brantley County Georgia,Georgia,50.1,2.9,0.2,1.9,94.4,38.6
Braxton County West Virginia,West Virginia,49.6,0.4,0.2,0.5,98.2,44.2
Brazoria County Texas,Texas,49.2,12.1,5.5,27.7,70.1,35.5
Brazos County Texas,Texas,49.4,11,5.2,23.3,73.3,24.9
Breathitt County Kentucky,Kentucky,50,0.3,0.5,0.6,98.3,41.4
Breckinridge County Kentucky,Kentucky,50.1,2,0.2,0.9,95.7,42.3
Bremer County Iowa,Iowa,51.1,0.8,0.7,1,97.2,40.7
Brevard County Florida,Florida,51,10.1,2.1,8.1,83,46.7
Brewster County Texas,Texas,49.8,1.1,0.7,42.4,86.6,42.5
Briscoe County Texas,Texas,50.2,2.5,0,25.1,87.5,46.6
Bristol Bay Borough Alaska,Alaska,45.8,0,0.8,2.4,48.2,41.9
Bristol city Virginia,Virginia,53,5.7,0.7,1.2,90.9,43.9
Bristol County Rhode Island,Rhode Island,52,0.8,1.4,2,95.7,44.4
Bristol County Massachusetts,Massachusetts,51.6,3.3,1.9,6,88.4,41
Broadwater County Montana,Montana,48.8,0.3,0.2,2.2,96.2,45.3
Bronx County New York,New York,53.1,36.5,3.6,53.5,27.9,34.9
Brooke County West Virginia,West Virginia,51.5,1.2,0.4,0.7,97,46.5
Brookings County South Dakota,South Dakota,48.8,0.8,2.7,2,93.2,26.8
Brooks County Georgia,Georgia,51.4,35.3,0.3,5.3,59.9,42.2
Brooks County Texas,Texas,50.4,0.5,0.3,91.2,89.6,40.6
Broome County New York,New York,51,4.8,3.5,3.4,88,42.2
Broomfield County Colorado,Colorado,50.4,1.1,6.1,11.1,86.1,37.4
Broward County Florida,Florida,51.6,26.7,3.2,25.1,63.1,40.7
Brown County South Dakota,South Dakota,51.3,0.5,1,1.4,93.2,40
Brown County Kansas,Kansas,51.3,1.2,0.3,3.1,85.1,44
Brown County Nebraska,Nebraska,51.3,0.1,0.2,0.9,98.2,49.5
Brown County Texas,Texas,50.6,3.6,0.4,19.6,86.5,41.4
Brown County Wisconsin,Wisconsin,50.5,2.2,2.7,7.3,86.5,37.2
Brown County Indiana,Indiana,50.4,0.3,0.3,1.2,97.6,47.4
Brown County Ohio,Ohio,50.4,0.9,0.2,0.6,97.5,40.4
Brown County Minnesota,Minnesota,50.3,0.2,0.6,3.3,97.5,45.1
Brown County Illinois,Illinois,35.9,18.5,0.2,5.8,76.1,42
Brule County South Dakota,South Dakota,51.4,0.2,0.2,1.4,88.4,41.7
Brunswick County North Carolina,North Carolina,51,11.4,0.5,5.2,83,48.6
Brunswick County Virginia,Virginia,47.5,57.3,0.3,1.7,40.4,44.8
Bryan County Oklahoma,Oklahoma,51.1,1.5,0.5,5,76.2,38.6
Bryan County Georgia,Georgia,50.9,14.2,1.6,4.4,80.2,36.6
Buchanan County Iowa,Iowa,50.4,0.3,0.4,1.2,97.8,40.4
Buchanan County Missouri,Missouri,50,5.2,0.8,5.2,89.1,38.6
Buchanan County Virginia,Virginia,48.9,2.6,0.2,0.4,96.6,45.3
Buckingham County Virginia,Virginia,44.6,35.1,0.4,1.7,62.1,43.5
Bucks County Pennsylvania,Pennsylvania,51,3.6,3.8,4.3,89.2,43.1
Buena Vista city Virginia,Virginia,53.5,5.2,0.4,1.5,91,39.5
Buena Vista County Iowa,Iowa,49.9,2.7,5.6,22.7,80.7,39
Buffalo County South Dakota,South Dakota,51,0.2,0.1,1.8,14.8,25.2
Buffalo County Nebraska,Nebraska,50.5,0.8,1.3,7.4,92.7,33.5
Buffalo County Wisconsin,Wisconsin,49.5,0.3,0.2,1.7,97.5,44.3
Bullitt County Kentucky,Kentucky,50.5,0.7,0.5,1.4,96.8,38.7
Bulloch County Georgia,Georgia,50.1,27.6,1.5,3.5,67.2,27.2
Bullock County Alabama,Alabama,45.8,70.2,0.2,7.1,23,39.7
Buncombe County North Carolina,North Carolina,51.8,6.4,1,6,87.4,42.3
Bureau County Illinois,Illinois,51.1,0.6,0.7,7.7,94.2,43.8
Burke County Georgia,Georgia,52,49.5,0.3,2.6,47.5,37.5
Burke County North Carolina,North Carolina,50,6.6,3.5,5.1,84.4,43.4
Burke County North Dakota,North Dakota,47.4,0.2,0.7,1.9,97.8,49.4
Burleigh County North Dakota,North Dakota,50.8,0.6,0.5,1.2,93,38.7
Burleson County Texas,Texas,50.5,12.2,0.2,18.4,77.9,44
Burlington County New Jersey,New Jersey,50.9,16.6,4.3,6.4,73.8,41.9
Burnet County Texas,Texas,50.9,1.8,0.5,20.2,88.5,44.5
Burnett County Wisconsin,Wisconsin,49.5,0.5,0.3,1.3,91.6,49.2
Burt County Nebraska,Nebraska,51,0.4,0.2,1.8,95.9,48.1
Butler County Alabama,Alabama,53,43.4,0.8,0.9,54.4,41.9
Butler County Missouri,Missouri,51.8,5.3,0.7,1.6,90.8,41.9
Butler County Ohio,Ohio,51.1,7.3,2.4,4,86,37.1
Butler County Pennsylvania,Pennsylvania,50.8,1.1,1,1.1,96.6,42.6
Butler County Iowa,Iowa,50.6,0.2,0.2,0.9,98.4,44.9
Butler County Kentucky,Kentucky,49.9,0.4,0.2,2.5,97,41.6
Butler County Nebraska,Nebraska,49.8,0.3,0.3,2.3,97.6,45.2
Butler County Kansas,Kansas,49.6,1.7,0.7,3.9,93.5,38.6
Butte County California,California,50.5,1.6,4.1,14.1,81.9,39.3
Butte County South Dakota,South Dakota,49.7,0.2,0.2,3,94.2,42
Butte County Idaho,Idaho,48.6,0.2,0.2,4.1,95.5,42.4
Butts County Georgia,Georgia,47.1,27.3,0.5,2.5,69.9,40.1
Cabarrus County North Carolina,North Carolina,51.2,15.3,2,9.4,75.4,37.7
Cabell County West Virginia,West Virginia,51.2,5,1,1.1,91.6,40.3
Cabo Rojo Municipio Puerto Rico,Puerto Rico,52.1,5.4,0.1,98.9,84.1,40.3
Cache County Utah,Utah,50.3,0.6,1.9,10,89.1,25.3
Caddo County Oklahoma,Oklahoma,48.3,2.8,0.2,10.1,63.1,39.7
Caddo Parish Louisiana,Louisiana,52.5,47.2,1.1,2.4,49,38
Caguas Municipio Puerto Rico,Puerto Rico,53,11,0.2,99.1,76.1,39.2
Calaveras County California,California,49.9,0.8,1.3,10.3,88.9,49.9
Calcasieu Parish Louisiana,Louisiana,51.2,24.8,1.1,2.6,70.8,37.2
