,gender,district,sum(aadhaar_generated)
479,F,Barwani,34
480,M,Barwani,47
481,M,Bargarh,1
482,M,Barddhaman,2
483,F,Baran,5
484,M,Baran,5
485,F,Banswara,28
486,M,Banswara,113
487,F,Banka,0
488,M,Banka,3
489,F,Bangalore Rural,9
490,M,Bangalore Rural,7
491,F,Bangalore,433
492,M,Bangalore,510
493,M,Balrampur,1
494,M,Ballia,1
495,F,Balaghat,287
496,M,Balaghat,368
497,M,Bagalkot,1
498,F,Aurangabad,19
499,M,Aurangabad,41
500,M,Auraiya,1
501,F,Ashok Nagar,1
502,M,Ashok Nagar,4
503,F,Anuppur,101
504,M,Anuppur,167
505,F,Amritsar,30
506,M,Amritsar,26
507,F,Amravati,0
508,M,Amravati,1
509,M,Ambedkar Nagar,2
510,F,Ambala,7
511,M,Ambala,8
512,F,Alwar,14
513,M,Alwar,22
514,M,Almora,1
515,F,Allahabad,15
516,M,Allahabad,17
517,F,Alirajpur,71
518,M,Alirajpur,100
519,F,Akola,5
520,M,Akola,5
521,F,Ajmer,27
522,M,Ajmer,60
523,F,Ahmedabad,1
524,F,Ahmed Nagar,0
525,M,Ahmed Nagar,0
526,F,Ahmadnagar,45
527,M,Ahmadnagar,63
