,district,sub_district,sum(aadhaar_generated)
429,Jind,Safidon,5
430,Jodhpur,Jodhpur,4
431,K.v. Rangareddy,Ghatkesar,0
432,K.v. Rangareddy,Hayathnagar,0
433,K.v. Rangareddy,Ibrahimpatnam,5
434,K.v. Rangareddy,Manchal,4
435,K.v. Rangareddy,Yacharam,0
436,Kaithal,Kaithal,4
437,Kangra,Baijnath,3
438,Kangra,Jai Singhpur,0
439,Kannauj,Chhibramau,1
440,Kanniyakumari,Kalkulam,1
441,Kanpur Nagar,Kanpur,1
442,Kapurthala,Bhulath,7
443,Kapurthala,Kapurthala,3
444,Kapurthala,Phagwara,1
445,Karaikal,Thirunallar Taluk,1
446,Karauli,Karauli,7
447,Karauli,Sapotra,2
448,Karauli,Todabhim,21
449,Karnal,Assandh,2
450,Karnal,Indri,40
451,Karnal,Karnal,10
452,Karnal,Nilokheri,1
453,Katihar,Amdabad,1
454,Katni,Bahoriband,1
455,Katni,Murwara,17
456,Katni,Vijayraghavgarh,14
457,Kendujhar,Barbil,1
458,Khandwa,Harsud,6
459,Khandwa,Khandwa,7
460,Khandwa,Pandhana,0
461,Khargone,Barwaha,33
462,Khargone,Bhagwanpura,9
463,Khargone,Bhikangaon,21
464,Khargone,Jhiranya,16
465,Khargone,Kasrawad,23
466,Khargone,Khargone,15
467,Khargone,Maheshwar,108
468,Khargone,Segaon,4
469,Khowai,Padmabil,2
470,Khowai,Teliamura,2
471,Khunti,Khunti,5
472,Koderma,Chandwara,2
473,Koderma,Jainagar,5
474,Koderma,Koderma,94
475,Koderma,Markacho,28
476,Kolar,Bangarapet,78
477,Kolhapur,Bhudargad,13
478,Kolhapur,Chandgad,4
479,Kolhapur,Gadhinglaj,2
480,Kolhapur,Hatkanangle,10
481,Kolhapur,Kagal,20
482,Kolhapur,Karvir,10
483,Kolhapur,Panhala,8
484,Kolhapur,Shirol,11
485,Koppal,Gangavathi,11
486,Koppal,Koppal,1
487,Koriya,Manendragarh,0
488,Kota,Digod,2
489,Kota,Ladpura,2
490,Kota,Pipalda,2
491,Kota,Ramganj Mandi,7
492,Kota,Sangod,4
493,Krishnagiri,Denkanikottai,1
494,Kurukshetra,Pehowa,33
495,Kurukshetra,Thanesar,8
496,Latehar,Balumath,5
497,Latehar,Barwadih,1
498,Latehar,Chandwa,5
499,Latehar,Garu,9
500,Latehar,Mahuadanr,4
501,Latur,Ahmadpur,2
502,Latur,Ausa,12
503,Latur,Chakur,4
504,Latur,Deoni,4
505,Latur,Latur,8
506,Latur,Nilanga,5
507,Latur,Renapur,2
508,Latur,Udgir,5
509,Lohardaga,Bhandra,2
510,Lohardaga,Kisko,10
511,Lohardaga,Kuru,27
512,Lohardaga,Lohardaga,3
513,Lohardaga,Senha,2
514,Ludhiana,Bharat Nagar Chowk,0
515,Ludhiana,Jagraon,7
516,Ludhiana,Ludhiana,21
517,Ludhiana,Ludhiana (east),1
518,Ludhiana,Ludhiana (west),2
519,Ludhiana,Payal,7
520,Ludhiana,Raikot,6
521,Ludhiana,Samrala,1
522,Madhubani,Benipatti,1
523,Madhubani,Lakhnaur,1
524,Mahendragarh,Mahendragarh,99
525,Mahendragarh,Narnaul,6
526,Mahoba,Kulpahar,2
527,Mandla,Bichhiya,28
528,Mandla,Mandla,2
529,Mandla,Nainpur,2
530,Mandla,Niwas,8
531,Mandsaur,Garoth,0
532,Mandsaur,Malhargarh,1
533,Mandsaur,Mandsaur,1
534,Mandsaur,Sitamau,2
535,Mandya,Nagamangala,1
536,Mansa,Budhlada,23
537,Mansa,Mansa,35
538,Mansa,Sardulgarh,9
539,Meerut,Meerut,1
540,Moga,Bagha Purana,18
541,Moga,Moga,17
542,Moga,Nihal Singh Wala,2
543,Morena,Ambah,21
544,Morena,Joura,49
545,Morena,Kailaras,5
546,Morena,Morena,8
547,Morena,Porsa,11
548,Morena,Sabalgarh,19
549,Mumbai,Mumbai,72
550,Nagaur,Didwana,3
551,Nagaur,Ladnu,0
552,Nagaur,Makrana,5
553,Nagaur,Nawa,2
554,Nagpur,Kamptee,1
555,Nagpur,Katol,2
556,Nagpur,Kuhi,1
557,Nagpur,Nagpur,1
558,Nagpur,Nagpur (rural),7
559,Nagpur,Nagpur (urban),1
560,Nagpur,Parseoni,0
561,Nagpur,Savner,1
562,Nalgonda,Jaji Reddi Gudem,1
563,Nalgonda,Mothey,2
564,Nalgonda,Nuthankal,1
565,Nalgonda,Thirumalgiri,2
566,Nalgonda,Thungathurthi,3
567,Nanded,Biloli,1
568,Nanded,Hadgaon,1
569,Nanded,Himayatnagar,2
570,Nanded,Kandhar,5
571,Nanded,Kinwat,1
572,Nanded,Mukhed,5
573,Nandurbar,Nandurbar,0
574,Nandurbar,Nawapur,0
575,Nandurbar,Shahade,0
576,Narsinghpur,Gadarwara,13
