id,user,uid,version,changeset,timestamp
16972586,balrog-kun,20587,3,4318130,2010-04-04T01:35:56Z
16972812,GPS_dr,117055,3,7662217,2011-03-25T06:10:44Z
16973068,dakrone,1968655,4,20942020,2014-03-06T01:59:48Z
16973353,balrog-kun,20587,2,4318130,2010-04-04T01:37:34Z
16973598,balrog-kun,20587,3,4318130,2010-04-04T01:38:03Z
16973909,GITNE,1836535,3,34461989,2015-10-06T06:49:26Z
16974225,balrog-kun,20587,2,4318130,2010-04-04T01:39:01Z
16974537,balrog-kun,20587,2,4318130,2010-04-04T01:39:35Z
16974760,balrog-kun,20587,2,4318130,2010-04-04T01:40:06Z
16975014,thesteady,1090081,3,36373165,2016-01-05T03:51:09Z
16975289,balrog-kun,20587,2,4318130,2010-04-04T01:41:16Z
16975554,balrog-kun,20587,2,4318130,2010-04-04T01:41:51Z
16975922,balrog-kun,20587,2,4318130,2010-04-04T01:42:21Z
16976190,balrog-kun,20587,3,4318130,2010-04-04T01:42:53Z
16976563,balrog-kun,20587,2,4318130,2010-04-04T01:43:19Z
16976884,balrog-kun,20587,2,4318130,2010-04-04T01:43:52Z
16977119,balrog-kun,20587,2,4318130,2010-04-04T01:44:23Z
16977352,balrog-kun,20587,2,4318130,2010-04-04T01:45:03Z
16977647,balrog-kun,20587,2,4318130,2010-04-04T01:45:37Z
16977859,balrog-kun,20587,2,4318130,2010-04-04T01:46:14Z
16978028,balrog-kun,20587,2,4318130,2010-04-04T01:46:40Z
16978184,CornCO,2281193,7,41397271,2016-08-11T20:23:50Z
16978440,SK53,84681,4,5875046,2010-09-25T22:41:04Z
16978686,balrog-kun,20587,2,4318130,2010-04-04T01:47:54Z
16978938,BobBelcher,4720805,6,44337278,2016-12-12T05:30:03Z
16979208,GPS_dr,117055,3,14508118,2013-01-03T04:29:34Z
16979396,SK53,84681,3,5874926,2010-09-25T22:23:57Z
16979644,balrog-kun,20587,2,4318130,2010-04-04T01:49:35Z
16979893,GPS_dr,117055,3,15648558,2013-04-08T00:30:35Z
16980211,balrog-kun,20587,2,4318130,2010-04-04T01:50:43Z
16980415,Mark Newnham,994480,6,32097544,2015-06-20T14:07:19Z
16980753,balrog-kun,20587,2,4318130,2010-04-04T01:51:39Z
16981087,DaveHansenTiger,7168,1,343989,2007-12-18T01:33:49Z
16981266,Stevestr,571489,3,27898229,2015-01-03T21:57:47Z
16981390,Your Village Maps,227972,5,21807586,2014-04-20T01:17:04Z
16981551,balrog-kun,20587,2,4318130,2010-04-04T01:52:16Z
16981717,Your Village Maps,227972,3,23094857,2014-06-23T07:16:30Z
16981898,Your Village Maps,227972,4,22477205,2014-05-22T00:35:50Z
16982076,chachafish,2237750,12,27854459,2015-01-02T03:54:56Z
16982247,chachafish,2237750,30,44758960,2016-12-29T14:36:02Z
16982351,Your Village Maps,227972,18,22057057,2014-05-01T05:30:26Z
16982475,balrog-kun,20587,2,4318130,2010-04-04T01:53:56Z
16982610,calfarome,2511706,5,32478325,2015-07-07T18:03:36Z
16982727,chachafish,2237750,3,44758913,2016-12-29T14:34:18Z
16982839,Roadrunner21,330773,3,13926085,2012-11-19T00:37:42Z
16982958,Stevestr,571489,6,29962609,2015-04-03T22:38:41Z
16983094,flierfy,445671,26,30601154,2015-04-29T00:22:03Z
16983221,balrog-kun,20587,3,4318130,2010-04-04T01:56:24Z
16983337,GPS_dr,117055,3,6557659,2010-12-05T23:15:17Z
16983455,Your Village Maps,227972,4,21856102,2014-04-22T08:30:55Z
16983577,42429,42429,8,9509079,2011-10-09T07:22:13Z
16983687,chachafish,2237750,13,31169442,2015-05-15T11:38:52Z
16983800,Your Village Maps,227972,7,21807586,2014-04-20T04:26:46Z
16983913,Stevestr,571489,3,33945187,2015-09-10T22:33:15Z
16984022,balrog-kun,20587,2,4318130,2010-04-04T01:59:32Z
16984135,Your Village Maps,227972,3,22096589,2014-05-03T03:40:36Z
16984253,balrog-kun,20587,2,4318130,2010-04-04T02:00:23Z
16984364,samely,2512300,5,28513826,2015-01-30T22:03:55Z
16984483,chachafish,2237750,13,40302790,2016-06-26T15:18:09Z
16984596,balrog-kun,20587,2,4318130,2010-04-04T02:01:29Z
16984730,balrog-kun,20587,3,4318130,2010-04-04T02:01:55Z
16984837,balrog-kun,20587,2,4318130,2010-04-04T02:02:26Z
16984955,hey ok,293012,5,5982771,2010-10-08T02:06:06Z
16985071,Your Village Maps,227972,6,22095529,2014-05-02T23:40:54Z
16985186,Your Village Maps,227972,19,30177046,2015-04-13T02:20:41Z
16985302,hey ok,293012,4,9792842,2011-11-10T22:25:58Z
16985453,Your Village Maps,227972,6,22055281,2014-05-01T02:47:00Z
16985671,chachafish,2237750,25,42427873,2016-09-25T17:29:30Z
16985931,Your Village Maps,227972,7,36873314,2016-01-29T07:43:42Z
16986149,killian,392708,4,14120057,2012-12-02T08:56:55Z
16986335,Your Village Maps,227972,6,21900122,2014-04-24T07:38:34Z
16986531,DavidJDBA,139555,7,6632480,2010-12-12T06:47:26Z
16986761,Your Village Maps,227972,4,15955102,2013-05-03T04:39:07Z
16986980,Your Village Maps,227972,17,22399003,2014-05-18T02:08:32Z
16987186,42429,42429,4,9511930,2011-10-09T13:04:41Z
16987397,hey ok,293012,4,7561059,2011-03-14T21:12:46Z
16987613,balrog-kun,20587,4,4318130,2010-04-04T02:09:02Z
16987834,dannykath,2226712,14,40326436,2016-06-27T17:35:24Z
16988036,gormur,103253,4,46743701,2017-03-10T17:03:21Z
16988214,Your Village Maps,227972,5,15941256,2013-05-02T07:17:07Z
16988416,chachafish,2237750,8,31325819,2015-05-20T20:05:14Z
16988634,calfarome,2511706,9,45149853,2017-01-13T22:43:38Z
16988799,Your Village Maps,227972,4,21830289,2014-04-21T08:42:02Z
16988979,Your Village Maps,227972,7,17449082,2013-08-22T03:42:48Z
16989147,chachafish,2237750,27,47328437,2017-03-31T14:54:38Z
16989323,Your Village Maps,227972,10,24691361,2014-08-12T01:01:04Z
16989644,42429,42429,3,9544879,2011-10-13T07:55:05Z
16989900,Your Village Maps,227972,4,22841414,2014-06-10T02:50:31Z
16990129,Your Village Maps,227972,2,23237246,2014-06-28T05:58:25Z
16990395,balrog-kun,20587,2,4318132,2010-04-03T22:49:19Z
16990653,balrog-kun,20587,2,4318132,2010-04-03T22:49:53Z
16990880,Your Village Maps,227972,3,47887119,2017-04-17T22:51:09Z
16991062,killian,392708,4,13630929,2012-10-25T19:12:43Z
16991234,balrog-kun,20587,3,4318132,2010-04-03T22:51:10Z
16991399,balrog-kun,20587,2,4318132,2010-04-03T22:51:33Z
16991547,jjyach,2103318,5,33437693,2015-08-19T12:15:43Z
16991717,balrog-kun,20587,2,4318132,2010-04-03T22:52:26Z
16991929,Your Village Maps,227972,4,39946750,2016-06-11T08:39:34Z
16992106,balrog-kun,20587,2,4318132,2010-04-03T22:53:14Z
16992261,balrog-kun,20587,2,4318132,2010-04-03T22:53:35Z
16992440,hey ok,293012,3,7936771,2011-04-22T17:47:23Z
16992635,hey ok,293012,3,8136354,2011-05-13T22:39:26Z
16992796,Your Village Maps,227972,12,38802498,2016-04-23T01:54:37Z
16993001,jjyach,2103318,5,34166735,2015-09-21T17:01:29Z
16993175,balrog-kun,20587,2,4318132,2010-04-03T22:55:22Z
16993345,hey ok,293012,3,8117362,2011-05-11T22:53:29Z
16993525,balrog-kun,20587,2,4318132,2010-04-03T22:56:04Z
16993719,balrog-kun,20587,2,4318132,2010-04-03T22:56:27Z
16993911,balrog-kun,20587,2,4318132,2010-04-03T22:56:47Z
16994083,balrog-kun,20587,2,4318132,2010-04-03T22:57:08Z
16994287,hey ok,293012,3,8306318,2011-05-31T22:20:19Z
16994532,hey ok,293012,3,8117362,2011-05-11T22:53:33Z
16994755,Your Village Maps,227972,3,15804191,2013-04-20T23:16:04Z
16994941,Your Village Maps,227972,5,31594824,2015-05-31T00:40:23Z
16995159,Your Village Maps,227972,10,22515243,2014-05-24T04:19:59Z
16995333,balrog-kun,20587,2,4318132,2010-04-03T22:59:21Z
16995540,balrog-kun,20587,2,4318132,2010-04-03T22:59:41Z
16995747,balrog-kun,20587,2,4318132,2010-04-03T23:00:00Z
16995967,jjyach,2103318,6,34083735,2015-09-17T13:18:25Z
16996190,balrog-kun,20587,2,4318132,2010-04-03T23:00:44Z
16996452,GPS_dr,117055,3,14593925,2013-01-10T06:04:17Z
16996665,GPS_dr,117055,6,14593925,2013-01-10T07:06:55Z
16997007,calfarome,2511706,10,32186876,2015-06-24T16:08:31Z
16997213,balrog-kun,20587,2,4318132,2010-04-03T23:03:21Z
16997448,balrog-kun,20587,2,4318132,2010-04-03T23:04:11Z
16997691,RichRico,2219338,3,26103265,2014-10-15T19:32:50Z
16997941,balrog-kun,20587,2,4318132,2010-04-03T23:05:44Z
16998126,Your Village Maps,227972,6,41181472,2016-08-02T02:34:42Z
16998364,balrog-kun,20587,2,4318132,2010-04-03T23:07:15Z
16998618,hey ok,293012,3,8167370,2011-05-16T22:56:13Z
16998809,Your Village Maps,227972,3,15830757,2013-04-22T22:23:06Z
16998988,balrog-kun,20587,2,4318132,2010-04-03T23:09:17Z
16999273,hey ok,293012,3,7376790,2011-02-23T21:22:00Z
16999535,balrog-kun,20587,2,4318132,2010-04-03T23:11:13Z
16999770,balrog-kun,20587,2,4318132,2010-04-03T23:11:56Z
17000024,balrog-kun,20587,2,4318132,2010-04-03T23:12:45Z
17000255,hey ok,293012,3,7936771,2011-04-22T17:35:26Z
17000527,balrog-kun,20587,2,4318132,2010-04-03T23:14:36Z
17000757,Your Village Maps,227972,3,32151089,2015-06-23T01:42:52Z
17001071,balrog-kun,20587,2,4318132,2010-04-03T23:16:15Z
17001282,balrog-kun,20587,2,4318132,2010-04-03T23:17:13Z
17001418,DavidJDBA,139555,3,4779674,2010-05-23T03:10:46Z
17001625,EnigmaQuip,2779208,4,46768529,2017-03-11T18:17:37Z
17001842,balrog-kun,20587,2,4318132,2010-04-03T23:19:39Z
17002104,EnigmaQuip,2779208,4,46586943,2017-03-05T03:42:38Z
17002374,hey ok,293012,6,7526943,2011-03-11T20:04:19Z
17002660,balrog-kun,20587,2,4318132,2010-04-03T23:22:42Z
17002978,Your Village Maps,227972,5,47887119,2017-04-17T23:43:35Z
17003197,balrog-kun,20587,2,4318132,2010-04-03T23:24:30Z
17003434,hey ok,293012,3,8306318,2011-05-31T22:34:05Z
17003637,balrog-kun,20587,2,4318132,2010-04-03T23:25:34Z
17003873,balrog-kun,20587,2,4318132,2010-04-03T23:26:09Z
17004117,balrog-kun,20587,2,4318132,2010-04-03T23:26:40Z
17004409,chdr,165869,3,3841135,2010-02-10T15:49:39Z
17004633,balrog-kun,20587,2,4318132,2010-04-03T23:28:36Z
17004909,Your Village Maps,227972,3,41251695,2016-08-05T06:16:35Z
17005176,balrog-kun,20587,2,4318132,2010-04-03T23:30:28Z
17005507,Your Village Maps,227972,4,39964995,2016-06-12T06:04:19Z
17005742,balrog-kun,20587,2,4318132,2010-04-03T23:32:32Z
17005942,hey ok,293012,4,8306318,2011-05-31T22:16:27Z
17006141,GPS_dr,117055,3,6558988,2010-12-06T03:19:45Z
17006335,Your Village Maps,227972,4,26017188,2014-10-12T03:11:56Z
17006570,balrog-kun,20587,3,4318132,2010-04-03T23:34:14Z
17006789,hey ok,293012,3,7506507,2011-03-09T17:54:14Z
17006987,balrog-kun,20587,2,4318132,2010-04-03T23:35:09Z
17007190,Your Village Maps,227972,3,23055189,2014-06-21T04:50:15Z
17007449,balrog-kun,20587,2,4318132,2010-04-03T23:36:28Z
17007659,GPS_dr,117055,3,5429607,2010-08-08T05:13:21Z
17007876,Your Village Maps,227972,3,40409578,2016-07-01T07:25:14Z
17008157,hey ok,293012,3,8136479,2011-05-13T22:58:59Z
17008339,balrog-kun,20587,2,4318132,2010-04-03T23:39:05Z
17008524,balrog-kun,20587,2,4318132,2010-04-03T23:39:52Z
17008749,Your Village Maps,227972,3,32151089,2015-06-23T01:12:46Z
17008923,balrog-kun,20587,2,4318132,2010-04-03T23:41:56Z
17009141,balrog-kun,20587,2,4318132,2010-04-03T23:43:01Z
17009397,balrog-kun,20587,2,4318132,2010-04-03T23:44:10Z
17009601,balrog-kun,20587,2,4318132,2010-04-03T23:45:06Z
17009766,balrog-kun,20587,2,4318132,2010-04-03T23:45:40Z
17009940,hey ok,293012,3,8306318,2011-05-31T22:56:36Z
17010140,balrog-kun,20587,2,4318132,2010-04-03T23:47:07Z
17010378,chdr,165869,4,3841135,2010-02-10T15:45:59Z
17010582,Your Village Maps,227972,3,32151089,2015-06-23T01:12:47Z
